last_window_sale_amount,shop_code,class_code,date,time,total_sale_amount,last_hour_sale_amount,total_pass_rate,last_hour_pass_rate,rest_inventory,prom,discount,
17.64,100001001,0401,2018-06-07,20,66,2,0.906412478,0.03061814,3,0,,
24.02,100001001,0401,2018-06-07,21,69,3,0.944540728,0.03812825,0,0,,
0,100001001,0401,2018-06-07,22,69,0,0.964182553,0.019641826,0,0,,
0,100001001,0401,2018-06-07,23,69,0,0.986135182,0.021952629,0,0,,
187.68,100001001,0401,2018-06-08,13,36,21,0.645143178,0.176305446,39,1,8.9,
23.84,100001001,0401,2018-06-08,14,39,3,0.715328467,0.070185289,36,1,8.9,
25.74,100001001,0401,2018-06-08,15,42,3,0.743964065,0.028635598,32,1,7.9,
11.04,100001001,0401,2018-06-08,16,44,2,0.769792252,0.025828186,31,1,6.9,
18.26,100001001,0401,2018-06-08,17,47,3,0.795058956,0.025266704,28,1,6.9,
15.76,100001001,0401,2018-06-08,18,50,3,0.827063448,0.032004492,25,1,6.9,
14.52,100001001,0401,2018-06-08,19,52,2,0.875350926,0.048287479,23,1,5.9,
18.67,100001001,0401,2018-06-08,20,57,5,0.905670971,0.030320045,18,1,5.9,
14.99,100001001,0401,2018-06-08,21,60,3,0.929253229,0.023582257,15,1,5.9,
4.72,100001001,0401,2018-06-08,22,61,1,0.952835486,0.023582257,14,1,5.9,
4.72,100001001,0401,2018-06-08,23,62,1,0.983717013,0.030881527,13,1,3.9,
177.85,100001001,0401,2018-06-11,13,34,22,0.622406639,0.176644932,48,1,6.9,
46.25,100001001,0401,2018-06-11,14,40,6,0.697688204,0.075281565,43,1,6.9,
53.69,100001001,0401,2018-06-11,15,47,7,0.728512152,0.030823948,36,1,6.9,
19.25,100001001,0401,2018-06-11,16,50,3,0.766449318,0.037937167,32,1,5.9,
19.22,100001001,0401,2018-06-11,17,54,4,0.79608773,0.029638411,28,1,5.9,
23.22,100001001,0401,2018-06-11,18,58,4,0.829875519,0.033787789,24,1,5.9,
31.51,100001001,0401,2018-06-11,19,65,7,0.877296977,0.047421458,17,1,4.9,
0,100001001,0401,2018-06-11,20,65,0,0.919383521,0.042086544,17,1,4.9,
10.58,100001001,0401,2018-06-11,21,69,4,0.947836396,0.028452875,13,1,4.9,
15.75,100001001,0401,2018-06-11,22,75,6,0.968583284,0.020746888,7,1,5.9,
0,100001001,0401,2018-06-11,23,75,0,0.986366331,0.017783047,7,1,2.9,
153.85,100001001,0401,2018-06-12,13,28,19,0.654095463,0.186210961,57,1,6.9,
39.26,100001001,0401,2018-06-12,14,33,5,0.732469063,0.0783736,52,1,6.9,
19.08,100001001,0401,2018-06-12,15,36,3,0.758986447,0.026517384,49,1,5.9,
22.86,100001001,0401,2018-06-12,16,40,4,0.789628757,0.03064231,45,1,5.9,
5.78,100001001,0401,2018-06-12,17,41,1,0.820860342,0.031231585,44,1,5.9,
40.52,100001001,0401,2018-06-12,18,49,8,0.86269888,0.041838539,36,1,5.9,
44.78,100001001,0401,2018-06-12,19,58,9,0.898644667,0.035945787,27,1,4.9,
2.55,100001001,0401,2018-06-12,20,59,1,0.930465527,0.03182086,26,1,4.9,
12.15,100001001,0401,2018-06-12,21,62,3,0.95462581,0.024160283,23,1,4.9,
2.84,100001001,0401,2018-06-12,22,63,1,0.975250442,0.020624632,22,1,4.9,
11.82,100001001,0401,2018-06-12,23,66,3,0.987625221,0.012374779,19,1,2.9,
249.15,100001001,0401,2018-06-13,13,48,29,0.642036125,0.224411604,43,1,6.9,
103.69,100001001,0401,2018-06-13,14,60,12,0.728516694,0.086480569,33,1,7.9,
37.67,100001001,0401,2018-06-13,15,65,5,0.762999453,0.034482759,28,1,7.9,
10.69,100001001,0401,2018-06-13,16,66,1,0.78817734,0.025177887,27,1,7.9,
9.8,100001001,0401,2018-06-13,17,67,1,0.815544609,0.027367269,26,1,6.9,
0,100001001,0401,2018-06-13,18,67,0,0.851669403,0.036124795,26,1,6.9,
31.48,100001001,0401,2018-06-13,19,72,5,0.891625616,0.039956212,21,1,4.9,
5.68,100001001,0401,2018-06-13,20,74,2,0.924466338,0.032840722,19,1,4.9,
14.09,100001001,0401,2018-06-13,21,78,4,0.950191571,0.025725233,15,1,5.9,
5.78,100001001,0401,2018-06-13,22,79,1,0.971538041,0.02134647,14,1,5.9,
0,100001001,0401,2018-06-13,23,79,0,0.989053093,0.017515052,14,1,2.9,
140.03,100001001,0401,2018-06-14,13,30,17,0.608550805,0.175458079,38,1,7.9,
87.46,100001001,0401,2018-06-14,14,40,10,0.687395891,0.078845086,28,1,7.9,
29.78,100001001,0401,2018-06-14,15,44,4,0.72570794,0.038312049,24,1,7.9,
8.33,100001001,0401,2018-06-14,16,45,1,0.747917823,0.022209883,23,1,7.9,
15.48,100001001,0401,2018-06-14,17,47,2,0.788450861,0.040533037,21,1,6.9,
6.76,100001001,0401,2018-06-14,18,48,1,0.824541921,0.036091061,20,1,6.9,
17,100001001,0401,2018-06-14,19,51,3,0.873403665,0.048861743,17,1,4.9,
0,100001001,0401,2018-06-14,20,51,0,0.915047196,0.041643531,17,1,4.9,
2.32,100001001,0401,2018-06-14,21,52,1,0.940033315,0.024986119,16,1,4.9,
